Key,Type,Desc,English (United States),Chinese
ProgrammingReference/AC-16-Intro,Text,,"The AC-16 is a state-of-the-art Programmable Computer capable of managing up to four other devices via the output pins, named O0 through O3. All of the outputs are set by default in the off position when the computer is turned on or reset. It has four built-in signed 16-bit registers that can be used for any purpose, named V0 through V3. They are also called variables in this reference manual and they are capable of storing integer values between -32,768 and 32,767.

Some kitchen parts offer support for reading the number of actions they have performed, such as ingredient gates, assemblers and robotic arms. The number of actions they have performed since they were started can be retrieved by reading the variables I0 to I3. I0 will read the number of performed actions for the device connected to O0, I1 to O1, and so on. Parts that do not support reading this value (like for example conveyor belts) will always return 0.

The program memory of the computer can contain up to 32 lines of code written in the AC Assembly Language. The entire program is executed exactly 30 times per second, making it easy to program routines that require precise timing. And speaking of timing, by accessing the special read-only register TT you can access the current time of the day, in 24 hours format. So, if the current time is 3:45 p.m., the TT register will contain the 16-bit integer 1545.

There is a set of four special, read-only registers that will be automatically populated with information coming from the built-in order reader. Each one of these registers will contain a number greater than 0 if at least a new order of the specified type has arrived in the current 33 milliseconds tick and 0 otherwise. The number dictates how many new orders of that type have been received in the current 33 milliseconds tick. It can be referenced in AC Assembly Language instructions as R0 to R3.

The built-in order readers can also distinguish between orders coming from different sources, such as a drive-thru window or customers ordering take-out food. For that purpose you can add the following letters as suffixes to the R0 to R3 variables:","AC-16是一款高精尖可編程電腦，可以通過輸出插針同時對最多四台其他設備進行控制（名稱從O0到O3）。電腦啟動或重置時，所有輸出均默認設為關閉。此電腦內置四個16位寄存器，可以用於任何用途（名稱從V0到V3）。它們在本指南手冊中會被稱為變量，可以儲存-32,768到32,767之間的整數值。

有一些廚房部件可以支持讀取其進行行動的次數，比如食材門、組裝機與機械臂等。這些部件從啟動起進行的行動次數，可以通過讀取I0至I3變量進行獲取。I0會讀取與O0連接的設備進行的行動次數，I1對應O1，以此類推。不支持讀取這一數值的部件（比如傳送帶等）會自動返還結果0。

這台電腦的程序內存最多可存儲32行使用AC匯編語言編寫的代碼。整個程序每秒運行30次，方便程序中需要精準計時的例行程序計時使用。說到計時，只需讀取特殊的只讀寄存器TT，即可讀取當前時間（24小時制格式）。舉例來說，如果當前時間是下午3:45，TT寄存器就會含有16位整數1545。

本電腦還包含一套四個特別的只讀寄存器，並自動由內置的訂單讀取器獲得的信息進行填充。若在當前33毫秒的時鐘周期內收到了至少一個制定種類的新訂單，這些寄存器中就會填充大於0的數字；如果沒有訂單，寄存器中的數字則是0。該數字代表着在當前的33毫秒時鐘周期內收到該種類新訂單的數量。這些寄存器可在AC匯編語言中使用R0至R3進行調用。

電腦內置的訂單讀取器還可以區分來自不同來源的訂單，如汽車訂餐窗口或顧客訂購外賣食物等。為此，你可以對R0至R3變量增添以下字母作為後綴："
ProgrammingReference/AC-16-Title,Text,,AC-16 PROGRAMMABLE COMPUTER REFERENCE,AC-16可編程電腦指南
ProgrammingReference/AC-32-Intro,Text,,"The AC-32 is a state-of-the-art Programmable Computer capable of managing up to four other devices via the output pins, named O0 through O3. All of the outputs are set by default in the off position when the computer is turned on or reset. It has eight built-in signed 16-bit registers that can be used for any purpose, named V0 through V7. They are also called variables in this reference manual and they are capable of storing integer values between -32,768 and 32,767.

Some kitchen parts offer support for reading the number of actions they have performed, such as ingredient gates, assemblers and robotic arms. The number of actions they have performed since they were started can be retrieved by reading the variables I0 to I3. I0 will read the number of performed actions for the device connected to O0, I1 to O1, and so on. Parts that do not support reading this value (like for example conveyor belts) will always return 0.

The main program memory of the computer can contain up to 32 lines of code written in the AC Assembly Language. There are four additional code pages that can contain up to 32 lines each. These can be invoked by using the cal instruction. See details in the reference below. The entire program is executed exactly 30 times per second, making it easy to program routines that require precise timing. And speaking of timing, by accessing the special read-only register TT you can access the current time of the day, in 24 hours format. So, if the current time is 3:45 p.m., the TT register will contain the 16-bit integer 1545.

There is a set of four special, read-only registers that will be automatically populated with information coming from the built-in order reader. Each one of these registers will contain a number greater than 0 if at least a new order of the specified type has arrived in the current 33 milliseconds tick and 0 otherwise. The number dictates how many new orders of that type have been received in the current 33 milliseconds tick. It can be referenced in AC Assembly Language instructions as R0 to R3.

The built-in order readers can also distinguish between orders coming from different sources, such as a drive-thru window or customers ordering take-out food. For that purpose you can add the following letters as suffixes to the R0 to R3 variables:","AC-32是一款高精尖可編程電腦，可以通過輸出插針同時對最多四台其他設備進行控制（名稱從O0到O3）。電腦啟動或重置時，所有輸出均默認設為關閉。此電腦內置八個16位寄存器，可以用於任何用途（名稱從V0到V7）。它們在本指南手冊中會被稱為變量，可以儲存-32,768到32,767之間的整數值。

有一些廚房部件可以支持讀取其進行行動的次數，比如食材門、組裝機與機械臂等。這些部件從啟動起進行的行動次數，可以通過讀取I0至I3變量進行獲取。I0會讀取與O0連接的設備進行的行動次數，I1對應O1，以此類推。不支持讀取這一數值的部件（比如傳送帶等）會自動返還結果0。

這台電腦的主程序內存最多可存儲32行使用AC匯編語言編寫的代碼。同時，本電腦還配備四個額外程序頁面，每個頁面最多可存儲32行代碼，可以通過cal指令調用。具體相關細節請查看下方的指示說明。整個程序每秒運行30次，方便程序中需要精準計時的例行程序計時使用。說到計時，只需讀取特殊的只讀寄存器TT，即可讀取當前時間（24小時制格式）。舉例來說，如果當前時間是下午3:45，TT寄存器就會含有16位整數1545。

本電腦還包含一套四個特別的只讀寄存器，並自動由內置的訂單讀取器獲得的信息進行填充。若在當前33毫秒的時鐘周期內收到了至少一個制定種類的新訂單，這些寄存器中就會填充大於0的數字；如果沒有訂單，寄存器中的數字則是0。該數字代表着在當前的33毫秒時鐘周期內收到該種類新訂單的數量。這些寄存器可在AC匯編語言中使用R0至R3進行調用。

電腦內置的訂單讀取器還可以區分來自不同來源的訂單，如汽車訂餐窗口或顧客訂購外賣食物等。為此，你可以對R0至R3變量增添以下字母作為後綴："
ProgrammingReference/AC-32-Title,Text,,AC-32 PROGRAMMABLE COMPUTER REFERENCE,AC-32可編程電腦指南
ProgrammingReference/Add,Text,,Add Instruction,Add指令
ProgrammingReference/AddDescription,Text,,"The add instruction adds two values and stores the result in the variable specified in the third parameter. Remember, registers are 16-bit, so the result has to be in the range -32768 to 32767 to prevent errors.",add指令可以將兩個數值進行相加，並將結果存入第三個參數指定的變量中。記住，寄存器都是16位大小，所以結果必須在-32768到32767之間，否則便會發生錯誤。
ProgrammingReference/Example01,Text,,"R for orders coming from the restaurant.

T for orders coming from the take-out area. 

D for orders coming from the drive-thru window.","R代表訂單來自餐館。

T代表訂單來自外賣。

D代表訂單來自汽車訂餐窗口。"
ProgrammingReference/Example02,Text,,"Built-in Order Reader R2 set to detect Cheeseburgers.

Variable R2R will contain the number of Cheeseburgers ordered from the restaurant.

Variable R2T will contain the number of Cheeseburgers ordered from the take-out area. 

Variable R2D will contain the number of Cheeseburgers ordered from the drive-thru window. 

Variable R2 will contain the total number of Cheeseburgers ordered in the current 33 milliseconds tick. 

R2 will, therefore, contain the sum of R2R + R2T + R2D.","內置訂單讀取器R2已設定為檢測奶酪漢堡。

變量R2R儲存的數字代表着餐館中訂購奶酪漢堡的數量。

變量R2T儲存的數字代表着外賣訂購奶酪漢堡的數量。

變量R2D儲存的數字代表着汽車訂餐窗口訂購奶酪漢堡的數量。

變量R2儲存的數字代表着當前33毫秒時鐘周期中新訂購奶酪漢堡的總量。

因此，R2儲存的數字也就是R2R + R2T + R2D之和。"
ProgrammingReference/Example03,Text,,loopagain:,loopagain:
ProgrammingReference/Example04,Text,,belton: ,belton:
ProgrammingReference/Example05,Text,,endprogram:,endprogram:
ProgrammingReference/Example06,Text,,cal instruction,cal指令
ProgrammingReference/Example07,Text,,"The cal instruction (short for call) can only be used in the main code page. This instruction will automatically execute all instructions in the specified code page and then resume execution on the next line when finished.

Programmers can think of code pages as procedures that can be invoked from the main program. The AC-32 Computer does not allow invoking other code pages from a code page, as it does not have a call stack.","cal指令（call，調用的縮寫）僅可以在主代碼頁中進行使用。這一指令會自動執行指定代碼頁中的全部指令，並在結束後自動繼續執行下一行代碼。

編程時，可以將代碼頁當成可以調入主程序進行使用的步驟。由於AC-32電腦不具備調用棧，因此也無法在代碼頁中調用其他代碼頁。"
ProgrammingReference/Example08,Text,,cal 2 ,cal 2
ProgrammingReference/Example09,Text,,cmp V1 30,cmp V1 30
ProgrammingReference/Example10,Text,,cmp V1 V3,cmp V1 V3
ProgrammingReference/Example11,Text,,dec V0,dec V0
ProgrammingReference/Example12,Text,,dec V3,dec V3
ProgrammingReference/Example13,Text,,jne endprogram,jne endprogram
ProgrammingReference/Example14,Text,,jlt loopagain ,jlt loopagain
ProgrammingReference/Example15,Text,,mov 30 V2 ,mov 30 V2
ProgrammingReference/Example16,Text,,mov V1 V2,mov V1 V2
ProgrammingReference/Example17,Text,,mul V1 15 V2,mul V1 15 V2
ProgrammingReference/Example18,Text,,mul V0 V1 V0 ,mul V0 V1 V0
ProgrammingReference/Example19,Text,,not V1 ,not V1
ProgrammingReference/Example20,Text,,not V3,not V3
ProgrammingReference/Example21,Text,,out O2 1 ,out O2 1
ProgrammingReference/Example22,Text,,out O2 V3 ,out O2 V3
ProgrammingReference/Example23,Text,,ret,ret
ProgrammingReference/Example24,Text,,sub V1 15 V1,sub V1 15 V1
ProgrammingReference/Example25,Text,,sub V2 V3 V0,sub V2 V3 V0
ProgrammingReference/ExampleDescription01,Text,,"This example program turns the device connected to O1 on for one second, off for one second and so on.",這個示例程序會將連接至O1的設備啟動一秒，然後關閉一秒，如此往復。
ProgrammingReference/ExampleDescription02,Text,,This example program turns on the device connected to O2 after 5 orders have arrived.,這個示例程序會在收到5個訂單後啟動連接至O2的設備。
ProgrammingReference/ExampleDescription03,Text,,"This example program keeps the device connected to O0 on for 5 seconds for every new order that arrives. A good use case for this program is to make a dispenser produce one ingredient for every order that arrives. Note that this program will also prewarm the device for 4 seconds on startup, so ingredients are delivered almost immediately after the order arrives, saving precious time for your customers! A standard order reader can't do that, can it?",這個示例程序每收到一個新訂單，就會令連接至O0的設備持續啟動5秒。此程序的一大用處就是，在每次收到一個新訂單時，讓分配器分配一份食材。請注意，此程序也會讓設備在啟動時熱機4秒，以便收到訂單時立即分配出食材，為你的顧客節省寶貴的時間！普通的訂單讀取器可做不到這一點，對吧？
ProgrammingReference/ExampleDescription04,Text,,"This complex example program will read from two different order reading modules (R0 and R1) and will handle outputs O0, O1 and O2. The goal of the program is to turn O0 and O1 on for three seconds whenever a new order arrives to either R0 or R1 but only turn on O2 when a new order arrives to R1. A good use case for this program is to make R0 handle plain burgers and R1, cheeseburgers while O0 is connected to a raw patty dispenser, O1 to a burger bun dispenser and O2 to a cheese dispenser. It also prewarms the dispensers for two seconds on startup.",這個複雜的示例程序會從兩個不同的訂單讀取模塊（R0和R1）進行讀取，並處理輸出O0，O1和O2。這一程序的目的，就是在R0或R1收到訂單時啟動O0和O1三秒鐘，但在R1收到訂單時僅啟動O2。此程序的一大用處就是，將O0連接至生肉餅分配器，將O1連接至漢堡麵包分配器，並將O2連接至奶酪分配器，然後讓R0處理普通漢堡，讓R1處理奶酪漢堡。這一指令還會在啟動分配器時令其熱機兩秒。
